timestamp,gameid,value,label
"Date:  Sat, 01 Aug 2020 00:00:18 GMT1 week ago",3515611,1.45,0
"Date:  Sat, 01 Aug 2020 00:00:32 GMT1 week ago",3515612,3.93,1
"Date:  Sat, 01 Aug 2020 00:01:00 GMT1 week ago",3515613,2.31,1
"Date:  Sat, 01 Aug 2020 00:01:20 GMT1 week ago",3515614,2.62,1
"Date:  Sat, 01 Aug 2020 00:01:42 GMT1 week ago",3515615,6.46,1
"Date:  Sat, 01 Aug 2020 00:02:17 GMT1 week ago",3515616,1.44,0
"Date:  Sat, 01 Aug 2020 00:02:31 GMT1 week ago",3515617,1.97,0
"Date:  Sat, 01 Aug 2020 00:02:49 GMT1 week ago",3515618,1.75,0
"Date:  Sat, 01 Aug 2020 00:03:06 GMT1 week ago",3515619,13.1,1
"Date:  Sat, 01 Aug 2020 00:03:51 GMT1 week ago",3515620,2.34,1
"Date:  Sat, 01 Aug 2020 00:04:12 GMT1 week ago",3515621,2.24,1
"Date:  Sat, 01 Aug 2020 00:04:31 GMT1 week ago",3515622,7.04,1
"Date:  Sat, 01 Aug 2020 00:05:08 GMT1 week ago",3515623,2.67,1
"Date:  Sat, 01 Aug 2020 00:05:30 GMT1 week ago",3515624,25.99,1
"Date:  Sat, 01 Aug 2020 00:06:25 GMT1 week ago",3515625,3.83,1
"Date:  Sat, 01 Aug 2020 00:06:53 GMT1 week ago",3515626,2.29,1
"Date:  Sat, 01 Aug 2020 00:07:13 GMT1 week ago",3515627,1.46,0
"Date:  Sat, 01 Aug 2020 00:07:27 GMT1 week ago",3515628,28.91,1
"Date:  Sat, 01 Aug 2020 00:08:24 GMT1 week ago",3515629,1,0
"Date:  Sat, 01 Aug 2020 00:08:33 GMT1 week ago",3515630,10.49,1
"Date:  Sat, 01 Aug 2020 00:09:15 GMT1 week ago",3515631,6.92,1
"Date:  Sat, 01 Aug 2020 00:09:51 GMT1 week ago",3515632,1.16,0
"Date:  Sat, 01 Aug 2020 00:10:01 GMT1 week ago",3515633,1.32,0
"Date:  Sat, 01 Aug 2020 00:10:14 GMT1 week ago",3515634,1.71,0
"Date:  Sat, 01 Aug 2020 00:10:30 GMT1 week ago",3515635,2.54,1
"Date:  Sat, 01 Aug 2020 00:10:52 GMT1 week ago",3515636,13.18,1
"Date:  Sat, 01 Aug 2020 00:11:37 GMT1 week ago",3515637,1.32,0
"Date:  Sat, 01 Aug 2020 00:11:50 GMT1 week ago",3515638,1.03,0
"Date:  Sat, 01 Aug 2020 00:11:58 GMT1 week ago",3515639,14.64,1
"Date:  Sat, 01 Aug 2020 00:12:45 GMT1 week ago",3515640,4.05,1
"Date:  Sat, 01 Aug 2020 00:13:14 GMT1 week ago",3515641,1.37,0
"Date:  Sat, 01 Aug 2020 00:13:27 GMT1 week ago",3515642,3,1
"Date:  Sat, 01 Aug 2020 00:13:51 GMT1 week ago",3515643,1.09,0
"Date:  Sat, 01 Aug 2020 00:14:01 GMT1 week ago",3515644,5.39,1
"Date:  Sat, 01 Aug 2020 00:14:33 GMT1 week ago",3515645,1.72,0
"Date:  Sat, 01 Aug 2020 00:14:49 GMT1 week ago",3515646,7.56,1
"Date:  Sat, 01 Aug 2020 00:15:27 GMT1 week ago",3515647,13.08,1
"Date:  Sat, 01 Aug 2020 00:16:12 GMT1 week ago",3515648,3.12,1
