13836,24,"Date:  Fri, 31 Jul 2020 23:21:35 GMT1 week ago",3515500, 8.29x
13835,23,"Date:  Fri, 31 Jul 2020 23:22:14 GMT1 week ago",3515501, 1.47x
13834,22,"Date:  Fri, 31 Jul 2020 23:22:28 GMT1 week ago",3515502, 11.38x
13833,21,"Date:  Fri, 31 Jul 2020 23:23:11 GMT1 week ago",3515503, 1.04x
13832,20,"Date:  Fri, 31 Jul 2020 23:23:20 GMT1 week ago",3515504, 9.41x
13831,19,"Date:  Fri, 31 Jul 2020 23:24:01 GMT1 week ago",3515505, 1.54x
13830,18,"Date:  Fri, 31 Jul 2020 23:24:15 GMT1 week ago",3515506, 1.53x
13829,17,"Date:  Fri, 31 Jul 2020 23:24:30 GMT1 week ago",3515507, 3.93x
13828,16,"Date:  Fri, 31 Jul 2020 23:24:58 GMT1 week ago",3515508, 1.73x
13827,15,"Date:  Fri, 31 Jul 2020 23:25:14 GMT1 week ago",3515509, 1.11x
13826,14,"Date:  Fri, 31 Jul 2020 23:25:24 GMT1 week ago",3515510, 1.1x
13825,13,"Date:  Fri, 31 Jul 2020 23:25:34 GMT1 week ago",3515511, 1.12x
13824,12,"Date:  Fri, 31 Jul 2020 23:25:44 GMT1 week ago",3515512, 10.39x
13823,11,"Date:  Fri, 31 Jul 2020 23:26:26 GMT1 week ago",3515513, 1.17x
13822,10,"Date:  Fri, 31 Jul 2020 23:26:36 GMT1 week ago",3515514, 8.61x
13821,9,"Date:  Fri, 31 Jul 2020 23:27:16 GMT1 week ago",3515515, 31.56x
13820,8,"Date:  Fri, 31 Jul 2020 23:28:14 GMT1 week ago",3515516, 2.84x
13819,7,"Date:  Fri, 31 Jul 2020 23:28:37 GMT1 week ago",3515517, 9.79x
13818,6,"Date:  Fri, 31 Jul 2020 23:29:18 GMT1 week ago",3515518, 6.3x
13817,5,"Date:  Fri, 31 Jul 2020 23:29:53 GMT1 week ago",3515519, 1.24x
13816,4,"Date:  Fri, 31 Jul 2020 23:30:04 GMT1 week ago",3515520, 26.18x
13815,3,"Date:  Fri, 31 Jul 2020 23:31:00 GMT1 week ago",3515521, 2.78x
13814,2,"Date:  Fri, 31 Jul 2020 23:31:23 GMT1 week ago",3515522, 1.2x
13813,1,"Date:  Fri, 31 Jul 2020 23:31:34 GMT1 week ago",3515523, 14.02x
13812,0,"Date:  Fri, 31 Jul 2020 23:32:20 GMT1 week ago",3515524, 1.03x
13811,49,"Date:  Fri, 31 Jul 2020 23:32:29 GMT1 week ago",3515525, 5.53x
13810,48,"Date:  Fri, 31 Jul 2020 23:33:02 GMT1 week ago",3515526, 1.67x
13809,47,"Date:  Fri, 31 Jul 2020 23:33:18 GMT1 week ago",3515527, 4.94x
13808,46,"Date:  Fri, 31 Jul 2020 23:33:49 GMT1 week ago",3515528, 1.2x
13807,45,"Date:  Fri, 31 Jul 2020 23:34:00 GMT1 week ago",3515529, 1.75x
13806,44,"Date:  Fri, 31 Jul 2020 23:34:16 GMT1 week ago",3515530, 1.59x
13805,43,"Date:  Fri, 31 Jul 2020 23:34:31 GMT1 week ago",3515531, 1.26x
13804,42,"Date:  Fri, 31 Jul 2020 23:34:43 GMT1 week ago",3515532, 1.5x
13803,41,"Date:  Fri, 31 Jul 2020 23:34:57 GMT1 week ago",3515533, 1x
13802,40,"Date:  Fri, 31 Jul 2020 23:35:06 GMT1 week ago",3515534, 1.12x
13801,39,"Date:  Fri, 31 Jul 2020 23:35:16 GMT1 week ago",3515535, 1.14x
13800,38,"Date:  Fri, 31 Jul 2020 23:35:26 GMT1 week ago",3515536, 1.93x
13799,37,"Date:  Fri, 31 Jul 2020 23:35:44 GMT1 week ago",3515537, 1.61x
13798,36,"Date:  Fri, 31 Jul 2020 23:35:59 GMT1 week ago",3515538, 3.05x
13797,35,"Date:  Fri, 31 Jul 2020 23:36:23 GMT1 week ago",3515539, 1.48x
13796,34,"Date:  Fri, 31 Jul 2020 23:36:37 GMT1 week ago",3515540, 1.74x
13795,33,"Date:  Fri, 31 Jul 2020 23:36:53 GMT1 week ago",3515541, 1.9x
13794,32,"Date:  Fri, 31 Jul 2020 23:37:11 GMT1 week ago",3515542, 1.25x
13793,31,"Date:  Fri, 31 Jul 2020 23:37:23 GMT1 week ago",3515543, 1.65x
13792,30,"Date:  Fri, 31 Jul 2020 23:37:38 GMT1 week ago",3515544, 2.88x
13791,29,"Date:  Fri, 31 Jul 2020 23:38:02 GMT1 week ago",3515545, 1.82x
13790,28,"Date:  Fri, 31 Jul 2020 23:38:19 GMT1 week ago",3515546, 3.71x
13789,27,"Date:  Fri, 31 Jul 2020 23:38:46 GMT1 week ago",3515547, 4.25x
13788,26,"Date:  Fri, 31 Jul 2020 23:39:15 GMT1 week ago",3515548, 1.66x
13787,25,"Date:  Fri, 31 Jul 2020 23:39:31 GMT1 week ago",3515549, 2.04x
13786,24,"Date:  Fri, 31 Jul 2020 23:39:49 GMT1 week ago",3515550, 1.32x
13785,23,"Date:  Fri, 31 Jul 2020 23:40:02 GMT1 week ago",3515551, 1.6x
13784,22,"Date:  Fri, 31 Jul 2020 23:40:17 GMT1 week ago",3515552, 5.46x
13783,21,"Date:  Fri, 31 Jul 2020 23:40:49 GMT1 week ago",3515553, 298.07x
13782,20,"Date:  Fri, 31 Jul 2020 23:42:20 GMT1 week ago",3515554, 2.39x
13781,19,"Date:  Fri, 31 Jul 2020 23:42:41 GMT1 week ago",3515555, 1.1x
13780,18,"Date:  Fri, 31 Jul 2020 23:42:51 GMT1 week ago",3515556, 1.59x
13779,17,"Date:  Fri, 31 Jul 2020 23:43:06 GMT1 week ago",3515557, 1.3x
13778,16,"Date:  Fri, 31 Jul 2020 23:43:18 GMT1 week ago",3515558, 2.31x
13777,15,"Date:  Fri, 31 Jul 2020 23:43:38 GMT1 week ago",3515559, 1.95x
13776,14,"Date:  Fri, 31 Jul 2020 23:43:56 GMT1 week ago",3515560, 2.28x
13775,13,"Date:  Fri, 31 Jul 2020 23:44:16 GMT1 week ago",3515561, 1.29x
13774,12,"Date:  Fri, 31 Jul 2020 23:44:28 GMT1 week ago",3515562, 2.04x
13773,11,"Date:  Fri, 31 Jul 2020 23:44:47 GMT1 week ago",3515563, 4.64x
13772,10,"Date:  Fri, 31 Jul 2020 23:45:18 GMT1 week ago",3515564, 1.01x
13771,9,"Date:  Fri, 31 Jul 2020 23:45:26 GMT1 week ago",3515565, 2.11x
13770,8,"Date:  Fri, 31 Jul 2020 23:45:45 GMT1 week ago",3515566, 1.47x
13769,7,"Date:  Fri, 31 Jul 2020 23:45:59 GMT1 week ago",3515567, 2.07x
13768,6,"Date:  Fri, 31 Jul 2020 23:46:18 GMT1 week ago",3515568, 1.96x
13767,5,"Date:  Fri, 31 Jul 2020 23:46:36 GMT1 week ago",3515569, 1.43x
13766,4,"Date:  Fri, 31 Jul 2020 23:46:49 GMT1 week ago",3515570, 1.01x
13765,3,"Date:  Fri, 31 Jul 2020 23:46:58 GMT1 week ago",3515571, 1.18x
13764,2,"Date:  Fri, 31 Jul 2020 23:47:09 GMT1 week ago",3515572, 1.18x
13763,1,"Date:  Fri, 31 Jul 2020 23:47:19 GMT1 week ago",3515573, 2.62x
13762,0,"Date:  Fri, 31 Jul 2020 23:47:42 GMT1 week ago",3515574, 2.18x
13761,49,"Date:  Fri, 31 Jul 2020 23:48:01 GMT1 week ago",3515575, 1.06x
