serial,timestamp,gameid,value,,,
82,"Date:  Wed, 01 Jan 2020 01:14:44 GMT6 months ago",Game #2699957, 1x,,,
83,"Date:  Wed, 01 Jan 2020 01:14:52 GMT6 months ago",Game #2699958, 1.19x,,,
84,"Date:  Wed, 01 Jan 2020 01:15:03 GMT6 months ago",Game #2699959, 6.58x,,,
85,"Date:  Wed, 01 Jan 2020 01:15:38 GMT6 months ago",Game #2699960, 4.1x,,,
86,"Date:  Wed, 01 Jan 2020 01:16:07 GMT6 months ago",Game #2699961, 1.14x,,,
87,"Date:  Wed, 01 Jan 2020 01:16:17 GMT6 months ago",Game #2699962, 1.52x,,,
88,"Date:  Wed, 01 Jan 2020 01:16:31 GMT6 months ago",Game #2699963, 1.25x,,,
89,"Date:  Wed, 01 Jan 2020 01:16:43 GMT6 months ago",Game #2699964, 2.47x,,,
90,"Date:  Wed, 01 Jan 2020 01:17:04 GMT6 months ago",Game #2699965, 75.46x,,,
91,"Date:  Wed, 01 Jan 2020 01:18:15 GMT6 months ago",Game #2699966, 1.22x,,,
92,"Date:  Wed, 01 Jan 2020 01:18:26 GMT6 months ago",Game #2699967, 226.03x,,,
93,"Date:  Wed, 01 Jan 2020 01:19:52 GMT6 months ago",Game #2699968, 1.16x,,,
94,"Date:  Wed, 01 Jan 2020 01:20:03 GMT6 months ago",Game #2699969, 3.26x,,,
95,"Date:  Wed, 01 Jan 2020 01:20:28 GMT6 months ago",Game #2699970, 1.67x,,,
96,"Date:  Wed, 01 Jan 2020 01:20:44 GMT6 months ago",Game #2699971, 1.33x,,,
97,NAN,NAN,NAN,,,
98,"Date:  Wed, 01 Jan 2020 01:21:11 GMT6 months ago",Game #2699973, 1.2x,,,
99,"Date:  Wed, 01 Jan 2020 01:21:22 GMT6 months ago",Game #2699974, 1.04x,,,
100,"Date:  Wed, 01 Jan 2020 01:21:31 GMT6 months ago",Game #2699975, 77.94x,,,
101,"Date:  Wed, 01 Jan 2020 01:22:42 GMT6 months ago",Game #2699976, 1.02x,,,
102,"Date:  Wed, 01 Jan 2020 01:22:50 GMT6 months ago",Game #2699977, 1.76x,,,
103,"Date:  Wed, 01 Jan 2020 01:23:07 GMT6 months ago",Game #2699978, 1.53x,,,
104,"Date:  Wed, 01 Jan 2020 01:23:21 GMT6 months ago",Game #2699979, 1.06x,,,
105,"Date:  Wed, 01 Jan 2020 01:23:30 GMT6 months ago",Game #2699980, 3.48x,,,
106,"Date:  Wed, 01 Jan 2020 01:23:56 GMT6 months ago",Game #2699981, 9.42x,,,
107,"Date:  Wed, 01 Jan 2020 01:24:37 GMT6 months ago",Game #2699982, 2.08x,,,
108,"Date:  Wed, 01 Jan 2020 01:24:56 GMT6 months ago",Game #2699983, 1.24x,,,
109,"Date:  Wed, 01 Jan 2020 01:25:07 GMT6 months ago",Game #2699984, 11.86x,,,
110,"Date:  Wed, 01 Jan 2020 01:25:51 GMT6 months ago",Game #2699985, 2.18x,,,
111,"Date:  Wed, 01 Jan 2020 01:26:11 GMT6 months ago",Game #2699986, 1.04x,,,
112,"Date:  Wed, 01 Jan 2020 01:26:20 GMT6 months ago",Game #2699987, 2.01x,,,
113,"Date:  Wed, 01 Jan 2020 01:26:38 GMT6 months ago",Game #2699988, 1.06x,,,
114,"Date:  Wed, 01 Jan 2020 01:26:47 GMT6 months ago",Game #2699989, 2.48x,,,
115,"Date:  Wed, 01 Jan 2020 01:27:08 GMT6 months ago",Game #2699990, 8.92x,,,
116,"Date:  Wed, 01 Jan 2020 01:27:48 GMT6 months ago",Game #2699991, 1.13x,,,
117,"Date:  Wed, 01 Jan 2020 01:27:58 GMT6 months ago",Game #2699992, 1.36x,,,
118,"Date:  Wed, 01 Jan 2020 01:28:11 GMT6 months ago",Game #2699993, 13.76x,,,
119,"Date:  Wed, 01 Jan 2020 01:28:57 GMT6 months ago",Game #2699994, 2.44x,,,
120,"Date:  Wed, 01 Jan 2020 01:29:18 GMT6 months ago",Game #2699995, 3x,,,
121,"Date:  Wed, 01 Jan 2020 01:29:42 GMT6 months ago",Game #2699996, 1.31x,,,
122,"Date:  Wed, 01 Jan 2020 01:29:55 GMT6 months ago",Game #2699997, 1.41x,,,
123,"Date:  Wed, 01 Jan 2020 01:30:08 GMT6 months ago",Game #2699998, 1x,,,
124,"Date:  Wed, 01 Jan 2020 01:30:16 GMT6 months ago",Game #2699999, 3.29x,,,
125,"Date:  Wed, 01 Jan 2020 01:30:42 GMT6 months ago",Game #2700000, 3.64x,,,
126,"Date:  Wed, 01 Jan 2020 01:31:08 GMT6 months ago",Game #2700001, 1.3x,,,
127,"Date:  Wed, 01 Jan 2020 01:31:21 GMT6 months ago",Game #2700002, 1.27x,,,
128,"Date:  Wed, 01 Jan 2020 01:31:32 GMT6 months ago",Game #2700003, 3.12x,,,
129,"Date:  Wed, 01 Jan 2020 01:31:57 GMT6 months ago",Game #2700004, 5.95x,,,
130,"Date:  Wed, 01 Jan 2020 01:32:31 GMT6 months ago",Game #2700005, 1.11x,,,
131,"Date:  Wed, 01 Jan 2020 01:32:41 GMT6 months ago",Game #2700006, 1.79x,,,
132,"Date:  Wed, 01 Jan 2020 01:32:57 GMT6 months ago",Game #2700007, 1.1x,,,
133,"Date:  Wed, 01 Jan 2020 01:33:07 GMT6 months ago",Game #2700008, 2.73x,,,
134,"Date:  Wed, 01 Jan 2020 01:33:30 GMT6 months ago",Game #2700009, 1.38x,,,
135,"Date:  Wed, 01 Jan 2020 01:33:43 GMT6 months ago",Game #2700010, 1.87x,,,
136,"Date:  Wed, 01 Jan 2020 01:34:00 GMT6 months ago",Game #2700011, 3.45x,,,
137,"Date:  Wed, 01 Jan 2020 01:34:26 GMT6 months ago",Game #2700012, 1.65x,,,
138,"Date:  Wed, 01 Jan 2020 01:34:42 GMT6 months ago",Game #2700013, 2.55x,,,
139,"Date:  Wed, 01 Jan 2020 01:35:03 GMT6 months ago",Game #2700014, 4.83x,,,
140,"Date:  Wed, 01 Jan 2020 01:35:34 GMT6 months ago",Game #2700015, 5.92x,,,
141,"Date:  Wed, 01 Jan 2020 01:36:08 GMT6 months ago",Game #2700016, 1.61x,,,
142,"Date:  Wed, 01 Jan 2020 01:36:23 GMT6 months ago",Game #2700017, 2.31x,,,
143,"Date:  Wed, 01 Jan 2020 01:36:44 GMT6 months ago",Game #2700018, 1.04x,,,
144,"Date:  Wed, 01 Jan 2020 01:36:53 GMT6 months ago",Game #2700019, 1.08x,,,
145,"Date:  Wed, 01 Jan 2020 01:37:02 GMT6 months ago",Game #2700020, 1.02x,,,
146,NAN,NAN,NAN,,,
147,"Date:  Wed, 01 Jan 2020 01:37:37 GMT6 months ago",Game #2700022, 1.86x,,,
148,"Date:  Wed, 01 Jan 2020 01:37:54 GMT6 months ago",Game #2700023, 1.05x,,,
149,"Date:  Wed, 01 Jan 2020 01:38:03 GMT6 months ago",Game #2700024, 1.98x,,,
150,"Date:  Wed, 01 Jan 2020 01:38:22 GMT6 months ago",Game #2700025, 5.64x,,,
151,"Date:  Wed, 01 Jan 2020 01:38:55 GMT6 months ago",Game #2700026, 10.65x,,,
152,"Date:  Wed, 01 Jan 2020 01:39:37 GMT6 months ago",Game #2700027, 9.17x,,,
153,"Date:  Wed, 01 Jan 2020 01:40:17 GMT6 months ago",Game #2700028, 2.5x,,,
154,"Date:  Wed, 01 Jan 2020 01:40:39 GMT6 months ago",Game #2700029, 1.12x,,,
155,"Date:  Wed, 01 Jan 2020 01:40:49 GMT6 months ago",Game #2700030, 11.06x,,,
156,"Date:  Wed, 01 Jan 2020 01:41:32 GMT6 months ago",Game #2700031, 2.18x,,,
157,"Date:  Wed, 01 Jan 2020 01:41:51 GMT6 months ago",Game #2700032, 1.27x,,,
158,"Date:  Wed, 01 Jan 2020 01:42:03 GMT6 months ago",Game #2700033, 1.21x,,,
159,"Date:  Wed, 01 Jan 2020 01:42:14 GMT6 months ago",Game #2700034, 1.99x,,,
160,"Date:  Wed, 01 Jan 2020 01:42:32 GMT6 months ago",Game #2700035, 2.59x,,,
161,"Date:  Wed, 01 Jan 2020 01:42:54 GMT6 months ago",Game #2700036, 5.51x,,,
162,"Date:  Wed, 01 Jan 2020 01:43:27 GMT6 months ago",Game #2700037, 5.16x,,,
163,"Date:  Wed, 01 Jan 2020 01:43:59 GMT6 months ago",Game #2700038, 1.35x,,,
164,"Date:  Wed, 01 Jan 2020 01:44:11 GMT6 months ago",Game #2700039, 1.12x,,,
165,"Date:  Wed, 01 Jan 2020 01:44:21 GMT6 months ago",Game #2700040, 1.71x,,,
166,"Date:  Wed, 01 Jan 2020 01:44:38 GMT6 months ago",Game #2700041, 1.83x,,,
167,"Date:  Wed, 01 Jan 2020 01:44:54 GMT6 months ago",Game #2700042, 1.17x,,,
168,"Date:  Wed, 01 Jan 2020 01:45:05 GMT6 months ago",Game #2700043, 9.98x,,,
169,"Date:  Wed, 01 Jan 2020 01:45:46 GMT6 months ago",Game #2700044, 1.51x,,,
170,"Date:  Wed, 01 Jan 2020 01:46:01 GMT6 months ago",Game #2700045, 2.66x,,,
171,"Date:  Wed, 01 Jan 2020 01:46:23 GMT6 months ago",Game #2700046, 1.75x,,,
172,"Date:  Wed, 01 Jan 2020 01:46:39 GMT6 months ago",Game #2700047, 9.75x,,,
173,"Date:  Wed, 01 Jan 2020 01:47:20 GMT6 months ago",Game #2700048, 1.28x,,,
174,NAN,NAN,NAN,,,
175,"Date:  Wed, 01 Jan 2020 01:47:47 GMT6 months ago",Game #2700050, 1.36x,,,
176,"Date:  Wed, 01 Jan 2020 01:48:00 GMT6 months ago",Game #2700051, 3.77x,,,
177,"Date:  Wed, 01 Jan 2020 01:48:27 GMT6 months ago",Game #2700052, 1.07x,,,
178,"Date:  Wed, 01 Jan 2020 01:48:37 GMT6 months ago",Game #2700053, 1.28x,,,
179,"Date:  Wed, 01 Jan 2020 01:48:49 GMT6 months ago",Game #2700054, 5.68x,,,
180,"Date:  Wed, 01 Jan 2020 01:49:22 GMT6 months ago",Game #2700055, 2.22x,,,
181,"Date:  Wed, 01 Jan 2020 01:49:42 GMT6 months ago",Game #2700056, 1.53x,,,
182,"Date:  Wed, 01 Jan 2020 01:49:56 GMT6 months ago",Game #2700057, 1.01x,,,
183,"Date:  Wed, 01 Jan 2020 01:50:04 GMT6 months ago",Game #2700058, 1.04x,,,
184,"Date:  Wed, 01 Jan 2020 01:50:13 GMT6 months ago",Game #2700059, 3.53x,,,
185,"Date:  Wed, 01 Jan 2020 01:50:40 GMT6 months ago",Game #2700060, 31.84x,,,
186,"Date:  Wed, 01 Jan 2020 01:51:38 GMT6 months ago",Game #2700061, 5.5x,,,
187,"Date:  Wed, 01 Jan 2020 01:52:11 GMT6 months ago",Game #2700062, 1886.35x,,,
188,"Date:  Wed, 01 Jan 2020 01:54:08 GMT6 months ago",Game #2700063, 1.85x,,,
189,"Date:  Wed, 01 Jan 2020 01:54:25 GMT6 months ago",Game #2700064, 1.31x,,,
190,"Date:  Wed, 01 Jan 2020 01:54:37 GMT6 months ago",Game #2700065, 24.32x,,,
191,"Date:  Wed, 01 Jan 2020 01:55:31 GMT6 months ago",Game #2700066, 2.63x,,,
192,"Date:  Wed, 01 Jan 2020 01:55:54 GMT6 months ago",Game #2700067, 22.35x,,,
193,"Date:  Wed, 01 Jan 2020 01:56:47 GMT6 months ago",Game #2700068, 5.47x,,,
194,"Date:  Wed, 01 Jan 2020 01:57:19 GMT6 months ago",Game #2700069, 1.22x,,,
195,"Date:  Wed, 01 Jan 2020 01:57:31 GMT6 months ago",Game #2700070, 1.23x,,,
196,"Date:  Wed, 01 Jan 2020 01:57:42 GMT6 months ago",Game #2700071, 3.17x,,,
197,"Date:  Wed, 01 Jan 2020 01:58:07 GMT6 months ago",Game #2700072, 1x,,,
198,"Date:  Wed, 01 Jan 2020 01:58:15 GMT6 months ago",Game #2700073, 42x,,,
199,"Date:  Wed, 01 Jan 2020 01:59:17 GMT6 months ago",Game #2700074, 1.77x,,,
200,"Date:  Wed, 01 Jan 2020 01:59:34 GMT6 months ago",Game #2700075, 10.76x,,,
201,"Date:  Wed, 01 Jan 2020 02:00:16 GMT6 months ago",Game #2700076, 3.55x,,,
202,"Date:  Wed, 01 Jan 2020 02:00:43 GMT6 months ago",Game #2700077, 1.44x,,,
203,"Date:  Wed, 01 Jan 2020 02:00:56 GMT6 months ago",Game #2700078, 1.64x,,,
204,"Date:  Wed, 01 Jan 2020 02:01:12 GMT6 months ago",Game #2700079, 1.31x,,,
205,"Date:  Wed, 01 Jan 2020 02:01:24 GMT6 months ago",Game #2700080, 3.19x,,,
206,"Date:  Wed, 01 Jan 2020 02:01:49 GMT6 months ago",Game #2700081, 1x,,,
207,"Date:  Wed, 01 Jan 2020 02:01:57 GMT6 months ago",Game #2700082, 2.97x,,,
208,"Date:  Wed, 01 Jan 2020 02:02:21 GMT6 months ago",Game #2700083, 7.8x,,,
209,"Date:  Wed, 01 Jan 2020 02:02:59 GMT6 months ago",Game #2700084, 1.18x,,,
210,"Date:  Wed, 01 Jan 2020 02:03:09 GMT6 months ago",Game #2700085, 9.11x,,,
211,"Date:  Wed, 01 Jan 2020 02:03:50 GMT6 months ago",Game #2700086, 1.41x,,,
212,"Date:  Wed, 01 Jan 2020 02:04:03 GMT6 months ago",Game #2700087, 2.77x,,,
213,"Date:  Wed, 01 Jan 2020 02:04:26 GMT6 months ago",Game #2700088, 1.11x,,,
214,"Date:  Wed, 01 Jan 2020 02:04:36 GMT6 months ago",Game #2700089, 1.78x,,,
215,"Date:  Wed, 01 Jan 2020 02:04:52 GMT6 months ago",Game #2700090, 120.28x,,,
216,"Date:  Wed, 01 Jan 2020 02:06:10 GMT6 months ago",Game #2700091, 1.35x,,,
217,"Date:  Wed, 01 Jan 2020 02:06:22 GMT6 months ago",Game #2700092, 12.5x,,,
218,"Date:  Wed, 01 Jan 2020 02:07:07 GMT6 months ago",Game #2700093, 15.38x,,,
219,"Date:  Wed, 01 Jan 2020 02:07:55 GMT6 months ago",Game #2700094, 1.37x,,,
220,NAN,NAN,NAN,,,
221,"Date:  Wed, 01 Jan 2020 02:08:28 GMT6 months ago",Game #2700096, 1x,,,
222,"Date:  Wed, 01 Jan 2020 02:08:37 GMT6 months ago",Game #2700097, 3.51x,,,
223,"Date:  Wed, 01 Jan 2020 02:09:03 GMT6 months ago",Game #2700098, 1.16x,,,
224,"Date:  Wed, 01 Jan 2020 02:09:13 GMT6 months ago",Game #2700099, 2.16x,,,
225,"Date:  Wed, 01 Jan 2020 02:09:33 GMT6 months ago",Game #2700100, 2.63x,,,
226,"Date:  Wed, 01 Jan 2020 02:09:55 GMT6 months ago",Game #2700101, 2.19x,,,
227,"Date:  Wed, 01 Jan 2020 02:10:14 GMT6 months ago",Game #2700102, 11.47x,,,
228,"Date:  Wed, 01 Jan 2020 02:10:58 GMT6 months ago",Game #2700103, 5.56x,,,
229,"Date:  Wed, 01 Jan 2020 02:11:31 GMT6 months ago",Game #2700104, 2.97x,,,
230,"Date:  Wed, 01 Jan 2020 02:11:55 GMT6 months ago",Game #2700105, 6.13x,,,
231,"Date:  Wed, 01 Jan 2020 02:12:29 GMT6 months ago",Game #2700106, 1.12x,,,
232,"Date:  Wed, 01 Jan 2020 02:12:39 GMT6 months ago",Game #2700107, 2.86x,,,
233,"Date:  Wed, 01 Jan 2020 02:13:03 GMT6 months ago",Game #2700108, 3.37x,,,
234,"Date:  Wed, 01 Jan 2020 02:13:28 GMT6 months ago",Game #2700109, 4.37x,,,
235,"Date:  Wed, 01 Jan 2020 02:13:58 GMT6 months ago",Game #2700110, 1.63x,,,
236,"Date:  Wed, 01 Jan 2020 02:14:13 GMT6 months ago",Game #2700111, 6.02x,,,
237,"Date:  Wed, 01 Jan 2020 02:14:47 GMT6 months ago",Game #2700112, 2.81x,,,
238,"Date:  Wed, 01 Jan 2020 02:15:11 GMT6 months ago",Game #2700113, 1.31x,,,
239,"Date:  Wed, 01 Jan 2020 02:15:23 GMT6 months ago",Game #2700114, 1.91x,,,
240,"Date:  Wed, 01 Jan 2020 02:15:41 GMT6 months ago",Game #2700115, 2.51x,,,
241,"Date:  Wed, 01 Jan 2020 02:16:02 GMT6 months ago",Game #2700116, 1.43x,,,
242,"Date:  Wed, 01 Jan 2020 02:16:16 GMT6 months ago",Game #2700117, 1.41x,,,
243,"Date:  Wed, 01 Jan 2020 02:16:29 GMT6 months ago",Game #2700118, 15.8x,,,
244,"Date:  Wed, 01 Jan 2020 02:17:17 GMT6 months ago",Game #2700119, 5.61x,,,
245,"Date:  Wed, 01 Jan 2020 02:17:50 GMT6 months ago",Game #2700120, 2.79x,,,
246,"Date:  Wed, 01 Jan 2020 02:18:13 GMT6 months ago",Game #2700121, 3.57x,,,
247,"Date:  Wed, 01 Jan 2020 02:18:40 GMT6 months ago",Game #2700122, 1.06x,,,
248,"Date:  Wed, 01 Jan 2020 02:18:49 GMT6 months ago",Game #2700123, 1.81x,,,
249,NAN,NAN,NAN,,,
250,"Date:  Wed, 01 Jan 2020 02:19:15 GMT6 months ago",Game #2700125, 2.19x,,,
251,"Date:  Wed, 01 Jan 2020 02:19:34 GMT6 months ago",Game #2700126, 5.1x,,,
252,"Date:  Wed, 01 Jan 2020 02:20:06 GMT6 months ago",Game #2700127, 2.2x,,,
253,"Date:  Wed, 01 Jan 2020 02:20:25 GMT6 months ago",Game #2700128, 5.71x,,,
254,"Date:  Wed, 01 Jan 2020 02:20:59 GMT6 months ago",Game #2700129, 4.17x,,,
255,"Date:  Wed, 01 Jan 2020 02:21:28 GMT6 months ago",Game #2700130, 1067.76x,,,
256,"Date:  Wed, 01 Jan 2020 02:23:16 GMT6 months ago",Game #2700131, 2.34x,,,
257,"Date:  Wed, 01 Jan 2020 02:23:37 GMT6 months ago",Game #2700132, 1.32x,,,
258,"Date:  Wed, 01 Jan 2020 02:23:49 GMT6 months ago",Game #2700133, 2.39x,,,
259,"Date:  Wed, 01 Jan 2020 02:24:10 GMT6 months ago",Game #2700134, 3.85x,,,
260,"Date:  Wed, 01 Jan 2020 02:24:38 GMT6 months ago",Game #2700135, 2.34x,,,
261,"Date:  Wed, 01 Jan 2020 02:24:58 GMT6 months ago",Game #2700136, 3.17x,,,
262,"Date:  Wed, 01 Jan 2020 02:25:23 GMT6 months ago",Game #2700137, 3.88x,,,
263,"Date:  Wed, 01 Jan 2020 02:25:51 GMT6 months ago",Game #2700138, 2.59x,,,
264,"Date:  Wed, 01 Jan 2020 02:26:13 GMT6 months ago",Game #2700139, 1.57x,,,
265,"Date:  Wed, 01 Jan 2020 02:26:28 GMT6 months ago",Game #2700140, 1.89x,,,
266,"Date:  Wed, 01 Jan 2020 02:26:45 GMT6 months ago",Game #2700141, 1.8x,,,
267,"Date:  Wed, 01 Jan 2020 02:27:02 GMT6 months ago",Game #2700142, 1.04x,,,
268,"Date:  Wed, 01 Jan 2020 02:27:11 GMT6 months ago",Game #2700143, 1.89x,,,
269,"Date:  Wed, 01 Jan 2020 02:27:28 GMT6 months ago",Game #2700144, 3.85x,,,
270,"Date:  Wed, 01 Jan 2020 02:27:56 GMT6 months ago",Game #2700145, 13.91x,,,
271,"Date:  Wed, 01 Jan 2020 02:28:42 GMT6 months ago",Game #2700146, 1.76x,,,
272,"Date:  Wed, 01 Jan 2020 02:28:59 GMT6 months ago",Game #2700147, 1.51x,,,
273,"Date:  Wed, 01 Jan 2020 02:29:13 GMT6 months ago",Game #2700148, 2.17x,,,
274,NAN,NAN,NAN,,,
275,"Date:  Wed, 01 Jan 2020 02:29:54 GMT6 months ago",Game #2700150, 1.85x,,,
276,"Date:  Wed, 01 Jan 2020 02:30:11 GMT6 months ago",Game #2700151, 1.7x,,,
277,"Date:  Wed, 01 Jan 2020 02:30:27 GMT6 months ago",Game #2700152, 1.07x,,,
278,"Date:  Wed, 01 Jan 2020 02:30:37 GMT6 months ago",Game #2700153, 1.23x,,,
279,"Date:  Wed, 01 Jan 2020 02:30:48 GMT6 months ago",Game #2700154, 1x,,,
280,"Date:  Wed, 01 Jan 2020 02:30:56 GMT6 months ago",Game #2700155, 1.02x,,,
281,"Date:  Wed, 01 Jan 2020 02:31:05 GMT6 months ago",Game #2700156, 23.52x,,,
282,"Date:  Wed, 01 Jan 2020 02:31:59 GMT6 months ago",Game #2700157, 1.99x,,,
283,"Date:  Wed, 01 Jan 2020 02:32:17 GMT6 months ago",Game #2700158, 1.72x,,,
284,"Date:  Wed, 01 Jan 2020 02:32:33 GMT6 months ago",Game #2700159, 1.07x,,,
285,"Date:  Wed, 01 Jan 2020 02:32:42 GMT6 months ago",Game #2700160, 1.33x,,,
286,"Date:  Wed, 01 Jan 2020 02:32:55 GMT6 months ago",Game #2700161, 1x,,,
287,"Date:  Wed, 01 Jan 2020 02:33:03 GMT6 months ago",Game #2700162, 2.21x,,,
288,"Date:  Wed, 01 Jan 2020 02:33:23 GMT6 months ago",Game #2700163, 2.11x,,,
289,"Date:  Wed, 01 Jan 2020 02:33:42 GMT6 months ago",Game #2700164, 1.1x,,,
290,"Date:  Wed, 01 Jan 2020 02:33:51 GMT6 months ago",Game #2700165, 4.71x,,,
291,"Date:  Wed, 01 Jan 2020 02:34:22 GMT6 months ago",Game #2700166, 3.22x,,,
292,"Date:  Wed, 01 Jan 2020 02:34:47 GMT6 months ago",Game #2700167, 3.06x,,,
293,"Date:  Wed, 01 Jan 2020 02:35:11 GMT6 months ago",Game #2700168, 2.16x,,,
294,"Date:  Wed, 01 Jan 2020 02:35:31 GMT6 months ago",Game #2700169, 2.04x,,,
295,NAN,NAN,NAN,,,
296,"Date:  Wed, 01 Jan 2020 02:36:13 GMT6 months ago",Game #2700171, 1.43x,,,
297,"Date:  Wed, 01 Jan 2020 02:36:26 GMT6 months ago",Game #2700172, 1.16x,,,
298,"Date:  Wed, 01 Jan 2020 02:36:37 GMT6 months ago",Game #2700173, 1.4x,,,
299,"Date:  Wed, 01 Jan 2020 02:36:50 GMT6 months ago",Game #2700174, 1.29x,,,
300,"Date:  Wed, 01 Jan 2020 02:37:02 GMT6 months ago",Game #2700175, 1.25x,,,
301,"Date:  Wed, 01 Jan 2020 02:37:14 GMT6 months ago",Game #2700176, 1.4x,,,
302,"Date:  Wed, 01 Jan 2020 02:37:27 GMT6 months ago",Game #2700177, 1.78x,,,
303,"Date:  Wed, 01 Jan 2020 02:37:43 GMT6 months ago",Game #2700178, 2.45x,,,
304,"Date:  Wed, 01 Jan 2020 02:38:04 GMT6 months ago",Game #2700179, 1.32x,,,
305,"Date:  Wed, 01 Jan 2020 02:38:17 GMT6 months ago",Game #2700180, 4.35x,,,
306,"Date:  Wed, 01 Jan 2020 02:38:46 GMT6 months ago",Game #2700181, 5.38x,,,
307,"Date:  Wed, 01 Jan 2020 02:39:19 GMT6 months ago",Game #2700182, 1.04x,,,
308,"Date:  Wed, 01 Jan 2020 02:39:28 GMT6 months ago",Game #2700183, 5.83x,,,
309,"Date:  Wed, 01 Jan 2020 02:40:01 GMT6 months ago",Game #2700184, 3.59x,,,
310,"Date:  Wed, 01 Jan 2020 02:40:28 GMT6 months ago",Game #2700185, 1.38x,,,
311,"Date:  Wed, 01 Jan 2020 02:40:41 GMT6 months ago",Game #2700186, 5.91x,,,
312,"Date:  Wed, 01 Jan 2020 02:41:15 GMT6 months ago",Game #2700187, 3.39x,,,
313,"Date:  Wed, 01 Jan 2020 02:41:41 GMT6 months ago",Game #2700188, 6.92x,,,
314,"Date:  Wed, 01 Jan 2020 02:42:17 GMT6 months ago",Game #2700189, 1.07x,,,
315,"Date:  Wed, 01 Jan 2020 02:42:26 GMT6 months ago",Game #2700190, 1.02x,,,
316,"Date:  Wed, 01 Jan 2020 02:42:35 GMT6 months ago",Game #2700191, 11.99x,,,
317,"Date:  Wed, 01 Jan 2020 02:43:19 GMT6 months ago",Game #2700192, 1.1x,,,
318,"Date:  Wed, 01 Jan 2020 02:43:29 GMT6 months ago",Game #2700193, 1.06x,,,
319,"Date:  Wed, 01 Jan 2020 02:43:38 GMT6 months ago",Game #2700194, 2.02x,,,
320,"Date:  Wed, 01 Jan 2020 02:43:56 GMT6 months ago",Game #2700195, 9.78x,,,
321,"Date:  Wed, 01 Jan 2020 02:44:37 GMT6 months ago",Game #2700196, 2.3x,,,
322,"Date:  Wed, 01 Jan 2020 02:44:58 GMT6 months ago",Game #2700197, 1.99x,,,
323,"Date:  Wed, 01 Jan 2020 02:45:16 GMT6 months ago",Game #2700198, 3.88x,,,
324,"Date:  Wed, 01 Jan 2020 02:45:44 GMT6 months ago",Game #2700199, 10.15x,,,
325,"Date:  Wed, 01 Jan 2020 02:46:25 GMT6 months ago",Game #2700200, 1.05x,,,
326,"Date:  Wed, 01 Jan 2020 02:46:34 GMT6 months ago",Game #2700201, 1.39x,,,
327,"Date:  Wed, 01 Jan 2020 02:46:47 GMT6 months ago",Game #2700202, 2.14x,,,
328,"Date:  Wed, 01 Jan 2020 02:47:06 GMT6 months ago",Game #2700203, 1.01x,,,
329,"Date:  Wed, 01 Jan 2020 02:47:15 GMT6 months ago",Game #2700204, 4.32x,,,
330,"Date:  Wed, 01 Jan 2020 02:47:44 GMT6 months ago",Game #2700205, 1.35x,,,
331,"Date:  Wed, 01 Jan 2020 02:47:57 GMT6 months ago",Game #2700206, 2.58x,,,
332,"Date:  Wed, 01 Jan 2020 02:48:19 GMT6 months ago",Game #2700207, 1.71x,,,
333,"Date:  Wed, 01 Jan 2020 02:48:35 GMT6 months ago",Game #2700208, 2.61x,,,
334,"Date:  Wed, 01 Jan 2020 02:48:57 GMT6 months ago",Game #2700209, 3.37x,,,
335,"Date:  Wed, 01 Jan 2020 02:49:23 GMT6 months ago",Game #2700210, 2.06x,,,
336,"Date:  Wed, 01 Jan 2020 02:49:41 GMT6 months ago",Game #2700211, 1.01x,,,
337,"Date:  Wed, 01 Jan 2020 02:49:50 GMT6 months ago",Game #2700212, 14.6x,,,
338,"Date:  Wed, 01 Jan 2020 02:50:37 GMT6 months ago",Game #2700213, 2.94x,,,
339,"Date:  Wed, 01 Jan 2020 02:51:01 GMT6 months ago",Game #2700214, 2.11x,,,
340,"Date:  Wed, 01 Jan 2020 02:51:20 GMT6 months ago",Game #2700215, 3.16x,,,
341,"Date:  Wed, 01 Jan 2020 02:51:44 GMT6 months ago",Game #2700216, 1.67x,,,
342,"Date:  Wed, 01 Jan 2020 02:52:00 GMT6 months ago",Game #2700217, 1.02x,,,
343,"Date:  Wed, 01 Jan 2020 02:52:09 GMT6 months ago",Game #2700218, 4.14x,,,
344,"Date:  Wed, 01 Jan 2020 02:52:37 GMT6 months ago",Game #2700219, 2.4x,,,
345,"Date:  Wed, 01 Jan 2020 02:52:58 GMT6 months ago",Game #2700220, 4.28x,,,
346,"Date:  Wed, 01 Jan 2020 02:53:27 GMT6 months ago",Game #2700221, 10.68x,,,
347,"Date:  Wed, 01 Jan 2020 02:54:10 GMT6 months ago",Game #2700222, 1.42x,,,
348,"Date:  Wed, 01 Jan 2020 02:54:23 GMT6 months ago",Game #2700223, 39.88x,,,
349,"Date:  Wed, 01 Jan 2020 02:55:25 GMT6 months ago",Game #2700224, 1.12x,,,
350,"Date:  Wed, 01 Jan 2020 02:55:35 GMT6 months ago",Game #2700225, 55.01x,,,
351,"Date:  Wed, 01 Jan 2020 02:56:41 GMT6 months ago",Game #2700226, 1.71x,,,
352,"Date:  Wed, 01 Jan 2020 02:56:57 GMT6 months ago",Game #2700227, 2.08x,,,
353,"Date:  Wed, 01 Jan 2020 02:57:16 GMT6 months ago",Game #2700228, 1.33x,,,
354,"Date:  Wed, 01 Jan 2020 02:57:28 GMT6 months ago",Game #2700229, 1.51x,,,
